Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Age Group,Last Purchase Date,Days Since Last Purchase,Churn,CLV
138,20,Male,Boots,Footwear,51,Maine,XL,Blue,Fall,4.0,No,PayPal,Store Pickup,No,No,31,Venmo,Annually,Young Adult,2025-04-12 09:19:31.524817,31,1,1581
139,57,Male,Gloves,Accessories,66,California,M,Turquoise,Summer,5.0,No,PayPal,Free Shipping,No,No,35,Venmo,Annually,Senior,2025-04-08 09:19:31.524817,35,1,2310
140,40,Male,Jacket,Outerwear,61,New Mexico,S,Olive,Spring,3.3,No,Debit Card,Express,No,No,40,Cash,Quarterly,Middle Age,2025-04-03 09:19:31.524817,40,1,2440
141,23,Male,Shorts,Clothing,23,Iowa,XL,Peach,Summer,4.4,No,Cash,Store Pickup,No,No,13,Venmo,Quarterly,Young Adult,2025-04-30 09:19:31.524817,13,0,299
142,36,Male,Pants,Clothing,36,Colorado,S,Indigo,Fall,4.7,No,Debit Card,Store Pickup,No,No,9,Bank Transfer,Every 3 Months,Middle Age,2025-05-04 09:19:31.524817,9,0,324
143,59,Male,Skirt,Clothing,81,Montana,L,Indigo,Fall,3.6,No,Credit Card,Free Shipping,No,No,25,Cash,Every 3 Months,Senior,2025-04-18 09:19:31.524817,25,0,2025
144,29,Male,Blouse,Clothing,56,Iowa,XL,Maroon,Summer,3.2,No,Credit Card,Free Shipping,No,No,3,Bank Transfer,Bi-Weekly,Young Adult,2025-05-10 09:19:31.524817,3,0,168
145,36,Male,Pants,Clothing,36,Colorado,S,Indigo,Fall,4.7,No,Debit Card,Store Pickup,No,No,9,Bank Transfer,Every 3 Months,Middle Age,2025-05-04 09:19:31.524817,9,0,324
146,59,Male,Skirt,Clothing,81,Montana,L,Indigo,Fall,3.6,No,Credit Card,Free Shipping,No,No,25,Cash,Every 3 Months,Senior,2025-04-18 09:19:31.524817,25,0,2025
147,29,Male,Blouse,Clothing,56,Iowa,XL,Maroon,Summer,3.2,No,Credit Card,Free Shipping,No,No,3,Bank Transfer,Bi-Weekly,Young Adult,2025-05-10 09:19:31.524817,3,0,168
148,20,Male,Boots,Footwear,51,Maine,XL,Blue,Fall,4.0,No,PayPal,Store Pickup,No,No,31,Venmo,Annually,Young Adult,2025-04-12 09:19:31.524817,31,1,1581
149,30,Male,Socks,Clothing,43,Vermont,S,Indigo,Fall,3.6,No,Debit Card,Store Pickup,No,No,8,Venmo,Quarterly,Young Adult,2025-05-05 09:19:31.524817,8,0,344
150,35,Male,Handbag,Accessories,38,Missouri,S,Yellow,Fall,3.3,No,Credit Card,Standard,No,No,43,PayPal,Quarterly,Middle Age,2025-03-31 09:19:31.524817,43,1,1634
